 1000 	 26.419903 
 923 	 0.000002 
 936 	 0.000003 
 938 	 0.000002 
 939 	 0.000003 
 942 	 0.000003 
 943 	 0.000002 
 944 	 0.000003 
 945 	 0.000005 
 946 	 0.000008 
 947 	 0.000010 
 948 	 0.000010 
 949 	 0.000016 
 950 	 0.000020 
 951 	 0.000023 
 952 	 0.000036 
 953 	 0.000036 
 954 	 0.000041 
 955 	 0.000078 
 956 	 0.000093 
 957 	 0.000106 
 958 	 0.000158 
 959 	 0.000191 
 960 	 0.000253 
 961 	 0.000297 
 962 	 0.000430 
 963 	 0.000590 
 964 	 0.000723 
 965 	 0.001001 
 966 	 0.001220 
 967 	 0.001669 
 968 	 0.002148 
 969 	 0.002896 
 970 	 0.003815 
 971 	 0.004909 
 972 	 0.006335 
 973 	 0.008666 
 974 	 0.011310 
 975 	 0.014841 
 976 	 0.020152 
 977 	 0.026745 
 978 	 0.035784 
 979 	 0.047228 
 980 	 0.063507 
 981 	 0.084543 
 982 	 0.114332 
 983 	 0.153253 
 984 	 0.208170 
 985 	 0.281021 
 986 	 0.382163 
 987 	 0.516227 
 988 	 0.706857 
 989 	 0.971477 
 990 	 1.336668 
 991 	 1.843915 
 992 	 2.630544 
 993 	 3.429181 
 994 	 5.118624 
 995 	 7.384487 
 996 	 7.014009 
 997 	 15.453353 
 998 	 14.875254 
 999 	 10.820650 
